x,y,z
-12.644,8.972,13.281
-15.562,-8.549,15.908
-12.332,-8.373,-0.731
-9.473,3.759,13.229
19.55,0.299,6.335
-22.589,1.01,-7.603
2.126,-15.338,-10.023
-0.484,-17.534,-11.038
17.493,-5.981,6.738
6.812,12.748,1.121
-4.773,11.879,17.623
-12.869,-5.296,-1.332
-1.167,-2.029,-15.501
8.389,16.444,-4.275
18.555,-5.317,-4.762
-19.682,-0.003,6.439
-9.363,11.619,15.377
-8.432,-11.556,-11.201
4.391,11.766,-7.339
-8.873,-2.309,-15.506
0.465,-16.295,-8.381
22.025,-7.215,6.075
23.444,0.04,5.86
-3.364,-16.39,-6.597
2.006,13.876,0.788
22.135,-10.926,-2.046
7.566,-2.827,-4.359
-1.447,4.478,18.091
-8.044,16.594,5.459
-3.622,5.627,-0.017
3.386,-9.198,5.554
-6.576,3.967,19.031
-3.415,6.809,10.153
-16.281,-9.055,7.03
9.803,15.264,0.478
-3.585,-6.448,-18.306
-21.445,-0.353,-3.231
8.572,12.356,1.587
-0.71,-15.18,3.245
-9.372,12.927,17.42
4.27,2.465,1.906
6.648,-5.274,-5.268
6.509,20.122,-8.867
-1.875,-16.298,-18.504
-9.677,15.278,20.074
18.476,1.25,0.005
-16.063,-7.358,-8.609
-19.681,-11.5,8.86
-9.112,-6.256,-18.472
-15.235,-2.442,-6.43
20.822,-1.525,9.289
-8.387,-3.026,-13.95
25.688,-1.177,3.479
-17.511,-1.304,10.284
1.982,-8.594,-18.73
8.984,7.407,-4.798
-9.532,4.015,4.683
18.382,-8.456,-3.105
5.767,12.43,10.063
2.08,15.639,-8.65
-8.645,17.956,12.448
-22.719,2.855,4.424
-6.27,-13.061,-7.715
-9.187,0.219,13.152
17.238,-1.826,3.308
19.849,5.549,2.64
0.107,13.779,0.229
-20.761,-2.14,-12.851
-10.422,5.907,-2.659
0.532,6.927,-2.183
4.482,-12.913,5.519
0.513,18.547,7.47
3.003,18.859,-12.084
-7.252,21.37,9.912
-14.492,-3.112,3.432
-17.961,-5.66,-8.704
-7.149,-4.074,-19.918
-11.063,7.577,4.894
28.049,-1.283,-0.59
-12.592,13.417,14.471
3.718,2.346,-6.428
18.392,-2.649,7.799
5.876,-14.249,-3.811
6.088,-10.138,-17.654
3.876,5.405,9.326
-5.527,0.11,-7.799
-22.635,-4.021,4.484
-23.847,-3.663,-3.248
1.286,-4.906,-0.073
-6.459,-3.783,-22.912
-17.284,-8.537,14.389
4.479,5.46,-4.67
-16.686,-8.952,14.809
22.702,-12.268,4.168
22.241,1.385,0.099
16.811,-7.02,8.108
5.702,-0.266,15.848
-19.354,0.297,-1.417
4.414,17.279,8.207
-3.341,7.05,10.388
-6.446,-13.021,-12.421
-2.989,1.333,-16.098
-5.743,0.95,-4.617
-7.461,9.427,23.039
-21.734,0.628,-0.91
-6.486,-16.851,-7.076
-7.746,-11.647,-14.917
-8.394,-3.663,-20.881
1.408,-14.948,9.127
-9.22,14.859,11.106
0.174,-5.747,-17.54
0.103,6.108,-3.881
-6.474,16.481,13.751
-15.096,7.625,4.8
-0.817,-14.427,-11.211
-8.849,6.081,3.909
4.848,5.318,8.115
25.471,-1.17,-4.632
23.148,-11.632,3.242
6.368,-2.628,-21.046
4.539,-13.569,1.822
-8.742,-9.955,18.594
-0.602,-13.565,-5.629
-0.81,-13.608,-13.472
-13.982,1.274,-3.114
-7.197,3.614,6.989
-2.379,2.391,-15.331
-3.441,7.257,11.392
-12.651,-6.388,-5.066
0.717,10.375,-8.634
-3.679,-11.582,-13.243
-15.525,-5.534,6.828
17.847,1.619,-0.984
23.335,-3.834,-3.667
24.425,1.838,-0.004
-5.816,1.459,-9.9
25.799,-10.059,0.058
-4.444,-3.765,8.335
2.523,6.918,-0.703
26.108,-6.29,1.745
-7.322,17.807,19.247
-7.702,9.236,14.951
-0.633,12.26,-4.903
11.669,3.69,-5.379
1.479,-14.909,9.097
-12.125,-9.483,18.132
-13.819,15.277,9.734
-4.472,-8.589,-21.068
18.66,-3.623,7.541
4.578,11.776,-10.98
-11.741,13.503,11.863
10.73,-8.86,2.036
-12.893,-9.485,16.704
20.171,-1.576,-0.916
-4.18,-0.724,-0.721
25.432,-3.25,2.424
-16.621,-6.318,-7.191
-8.529,-4.35,-22.013
-10.149,9.535,17.953
-1.897,11.292,-1.893
-15.77,0.381,7.324
-5.859,10.995,15.953
4.184,9.078,4.832
23.8,0.006,-2.912
19.073,4.663,7.868
-6.958,3.685,-7.995
-6.592,-3.339,11.905
5.232,-5.611,-20.028
22.375,6.046,8.19
-6.312,1.22,-3.108
6.822,7.144,15.204
3.273,-11.611,-16.856
-23.525,-3.033,-13.646
-6.505,2.254,-8.332
23.068,1.228,-0.102
8.814,-2.412,-0.829
-1.339,5.306,10.01
-0.613,8.09,-5.819
-0.576,-1.739,-23.616
21.297,3.108,2.44
17.398,3.089,2.133
8.788,4.914,12.784
4.15,-0.192,-23.007
17.505,-7.388,-4.039
-2.981,7.988,10.162
-17.665,-9.557,7.119
-12.338,-6.543,16.276
22.233,-2.407,-2.995
5.659,-9.881,-2.152
-16.363,-2.793,1.632
17.879,-8.594,7.329
-10.64,-7.787,-4.052
15.799,-0.495,6.516
-6.258,-12.73,-19.555
6.595,6.389,13.972
6.982,-8.26,-16.396
22.877,0.545,1.706
-4.177,3.175,-11.341
11.126,-9.286,2.633
-7.515,17.84,19.188
-12.259,4.763,3.885
-13.969,-6.052,-8.288
-2.41,-4.439,-16.475
-21.815,0.413,-8.315
-5.927,1.178,-9.362
-10.461,-8.274,-17.775
-2.883,-6.612,-17.235
18.852,6.656,2.23
-17.661,-1.196,9.45
-23.622,-1.834,-2.165
-18.697,-0.996,-0.384
1.271,3.586,16.361
-13.269,-6.358,-6.243
-14.584,-5.829,7.294
5.927,18.194,-6.63
-21.755,-7.107,3.311
1.96,1.135,2.986
-1.125,-6.106,-11.66
1.692,-17.694,4.293
3.489,16.543,-2.161
-5.554,4.643,-8.624
-16.559,-3.944,4.612
22.782,2.891,1.842
-8.31,-3.809,-21.459
6.33,-6.287,-5.269
5.263,-1.927,-5.124
0.608,-13.229,-18.64
-14.085,4.06,11.928
19.889,-5.759,6.55
-6.632,8.177,18.121
8.276,-8.653,-4.55
-8.947,-14.256,-10.011
3.254,-11.19,5.093
0.527,-12.787,-12.313
-17.881,1.596,-6.934
-12.836,8.497,6.732
4.557,-10.786,5.41
-3.714,10.898,-2.894
-17.61,1.948,-3.025
5.959,8.495,5.199
0.11,10.772,12.247
18.153,0.708,5.175
2.892,7.85,-4.88
1.452,12.742,2.651
-19.54,-3.992,2.929
-9.091,-1.691,8.738
-1.731,-17.017,-17.053
-20.846,-0.024,-5.869
7.345,2.17,-10.181
-13.65,1.093,-2.967
-15.363,8.062,11.717
6.386,9.972,-1.065
-0.372,15.627,9.334
-6.015,1.358,-11.743
1.528,9.871,-4.62
15.322,-0.523,2.471
-10.269,8.522,17.016
-17.296,-2.425,-7.408
-0.954,3.547,11.287
-3.878,-5.684,-10.207
1.164,12.424,-14.917
-1.223,4.589,1.294
-0.599,-1.044,2.568
21.612,0.696,-1.201
6.623,0.043,1.497
-15.05,7.068,5.055
1.31,11.568,5.98
15.764,5.014,4.128
-15.121,-6.32,9.647
-3.313,-15.709,-15.98
-14.895,-7.565,12.864
10.372,-8.483,1.484
-5.968,6.092,-8.77
6.226,-9.595,-2.11
-10.941,-6.887,15.444
-0.375,15.956,-11.394
17.298,-3.229,4.571
-18.387,-3.443,14.931
-12.78,-6.947,-2.222
24.895,-5.343,-1.616
7.62,21.41,-7.853
-7.7,-2.683,-14.177
17.762,-8.256,-4.138
10.996,12.534,0.742
-0.119,-10.171,-16.197
0.366,-6.566,-15.663
10.415,-3.85,1.436
29.024,-6.575,-8.0
-2.241,-8.028,-20.206
5.921,-2.085,-5.336
15.956,-7.343,6.689
18.092,-4.492,6.765
-14.434,0.101,-3.572
-12.587,-9.077,17.29
-19.257,-7.236,1.816
16.666,-0.085,11.102
-15.307,11.733,10.668
0.355,-8.346,-13.296
-5.175,-2.621,12.089
8.32,0.945,12.239
-5.526,5.171,20.12
5.302,-8.877,2.186
21.02,-4.207,7.806
-13.416,15.228,5.751
1.66,-15.13,-9.505
-2.539,-17.359,-5.574
-3.457,0.301,-17.714
-25.58,-2.19,-5.718
-5.607,13.816,16.228
-17.099,1.51,-2.891
21.54,-9.259,3.424
-15.066,7.643,4.564
-2.723,-9.914,-14.061
5.797,-13.968,-1.908
4.602,15.472,1.284
4.221,-7.522,-24.282
3.315,12.574,6.595
24.162,4.266,-4.167
5.296,-4.736,-18.241
0.912,3.228,-2.157
-10.844,-9.427,18.939
8.355,10.831,-4.376
18.822,-11.677,5.679
-3.865,10.763,-4.126
0.548,1.18,2.82
0.616,-0.549,4.122
0.792,0.626,-21.877
21.82,6.283,7.606
-3.487,-3.322,-14.93
11.265,2.998,-11.083
24.964,-4.28,2.039
7.343,-2.818,-23.198
4.765,15.04,-11.187
-15.758,-5.577,0.899
-0.982,-7.325,-23.353
-20.818,-2.885,0.391
24.082,0.567,-4.953
-10.463,7.969,8.124
6.631,12.902,-0.823
-3.031,13.417,-13.258
2.853,12.766,1.165
-1.533,-15.753,-18.595
3.731,-13.031,-8.032
-0.812,-0.282,-23.251
6.519,-5.651,-5.025
-2.31,-11.393,-12.406
20.051,-7.371,5.126
-8.226,10.766,7.777
3.318,8.044,-11.816
-15.826,11.446,7.031
4.061,-7.059,1.177
-2.647,5.023,2.353
-0.976,5.587,9.917
3.161,-8.229,1.351
-10.045,1.517,13.866
1.062,-14.469,3.82
-8.578,-11.475,-11.053
4.676,-7.258,2.89
3.732,12.67,2.144
25.029,-7.424,-4.84
-17.009,-8.915,5.923
-8.041,18.25,10.779
-16.932,-9.629,7.367
-0.976,-10.85,4.489
-3.327,-2.108,-23.88
21.364,-3.893,6.374
3.287,-2.501,-17.39
21.275,-1.051,9.706
-11.957,-10.154,11.943
-1.935,-8.038,-19.124
5.199,17.114,-5.312
-18.789,-0.63,-4.603
4.367,-8.969,-0.781
0.884,1.021,2.77
-4.54,5.48,9.01
3.249,-3.648,0.408
-5.604,17.172,12.383
-10.548,-8.634,10.755
-16.373,-0.224,-8.721
-8.476,20.646,10.264
-2.267,0.763,13.273
-1.408,14.349,-1.369
-7.708,3.213,7.006
17.364,4.24,6.32
24.979,3.484,-0.949
0.753,3.597,-2.164
-2.103,14.579,-11.122
0.864,3.292,12.833
3.74,9.476,2.026
-7.895,-12.197,-8.424
-12.885,-7.704,-2.712
6.389,6.446,-9.448
11.188,1.139,-3.687
3.578,-13.601,7.934
29.375,-6.7,-8.36
3.808,9.753,3.165
-7.68,-9.825,-11.539
-1.596,6.056,17.27
18.232,4.033,8.898
-21.82,-0.563,-0.84
16.418,-1.389,10.406
-10.704,-7.597,17.858
4.999,19.594,-7.927
5.297,6.632,7.848
-16.555,-6.333,-8.662
-8.17,7.058,2.962
1.7,18.975,-7.682
1.888,4.021,15.698
-0.117,11.368,2.824
6.939,0.511,-9.563
-23.102,0.697,2.033
9.36,1.019,-5.51
-20.099,1.599,-9.635
-19.508,-6.063,8.943
24.326,5.013,-5.458
1.255,1.401,5.214
-9.528,3.885,4.474
18.677,0.91,0.732
-19.303,-5.985,8.126
9.209,-6.094,2.638
-25.603,2.683,-12.419
-4.137,10.075,10.555
6.536,-0.765,-10.565
6.548,19.033,-3.925
15.563,-6.742,5.049
0.635,11.156,11.719
-0.831,6.248,-2.782
-12.957,-7.313,-2.779
-14.968,-6.774,9.562
-20.105,-3.88,-12.191
-3.616,-2.47,-15.958
-12.024,-5.518,19.575
-17.182,-2.949,-5.668
20.254,-7.355,0.151
5.871,14.704,-5.285
7.132,0.515,-7.491
19.954,4.234,6.443
-9.035,4.57,13.129
5.417,11.656,6.297
4.684,-1.282,-17.549
3.627,-6.622,-19.026
-10.604,-10.092,11.955
-6.951,-5.282,7.976
-5.789,-17.778,9.067
-12.952,16.78,5.982
-7.448,16.913,12.463
4.497,20.153,-9.169
6.158,16.225,-3.001
6.468,-7.286,-13.804
-2.825,-9.216,-19.762
0.831,-11.968,6.529
2.275,-10.047,-17.415
-14.995,0.294,-2.274
2.944,-9.098,-19.113
5.395,6.769,-11.296
-4.494,14.887,12.49
5.112,4.161,-7.498
-14.156,2.554,-0.512
-15.229,-6.525,4.094
29.161,-3.751,-4.149
-17.025,-9.078,6.262
-1.176,14.134,5.866
-1.143,-2.912,-18.859
-2.84,4.688,-10.678
4.117,-14.327,-13.745
-7.168,4.264,4.783
6.644,-10.195,0.243
17.091,-0.887,9.924
27.032,3.077,-5.404
-11.774,16.037,-0.884
-23.789,-3.354,-10.207
-2.14,9.825,-6.516
-4.758,2.198,20.998
-10.875,10.307,4.585
-5.026,0.403,12.749
-4.544,-7.644,-17.074
28.639,-7.83,3.833
-16.158,-3.97,5.05
-20.922,-3.87,-10.054
-23.839,-5.236,-12.077
-0.336,16.18,7.711
-17.25,0.796,-10.22
-3.774,16.858,7.918
-3.296,8.348,10.719
4.907,4.683,-11.889
-9.698,19.184,13.632
-19.585,1.097,1.285
-13.677,4.146,12.226
-20.211,0.18,6.455
-25.21,-1.185,-14.122
-20.792,-3.511,11.762
-3.685,-11.211,-14.672
0.511,-13.186,-10.808
-13.492,-6.504,15.144
-1.232,-0.739,-24.363
-1.059,10.696,15.986
-13.741,-4.975,-2.058
-1.011,-17.992,-6.927
17.769,5.562,4.888
3.5,-12.871,2.272
-1.252,-11.413,-17.495
25.669,-6.293,-5.952
-7.618,5.394,5.935
20.819,-9.439,6.767
5.783,10.879,-6.24
-0.308,9.155,11.029
-2.312,5.202,12.708
4.045,-8.87,1.083
20.638,0.037,5.906
-9.752,5.855,8.341
0.809,-11.215,5.309
-20.862,1.61,-10.048
